| epoch  13 |     3/   17 batches |ms/batch 3581.97 |avg loss 2391.82
| epoch  13 |     4/   17 batches |ms/batch 4234.72 |avg loss 2704.02
| epoch  13 |     5/   17 batches |ms/batch 3827.60 |avg loss 2464.90
| epoch  13 |     6/   17 batches |ms/batch 3625.09 |avg loss 2278.45
| epoch  13 |     7/   17 batches |ms/batch 4089.37 |avg loss 2133.00
| epoch  13 |     8/   17 batches |ms/batch 3514.47 |avg loss 1796.79
| epoch  13 |     9/   17 batches |ms/batch 2686.80 |avg loss 1515.40
| epoch  13 |    10/   17 batches |ms/batch 2991.55 |avg loss 1282.56
| epoch  13 |    11/   17 batches |ms/batch 2903.53 |avg loss 1226.79
| epoch  13 |    12/   17 batches |ms/batch 2949.49 |avg loss 1270.01
| epoch  13 |    13/   17 batches |ms/batch 3046.56 |avg loss 1378.05
| epoch  13 |    14/   17 batches |ms/batch 2613.37 |avg loss 1440.62
| epoch  13 |    15/   17 batches |ms/batch 2991.18 |avg loss 1476.98
| epoch  13 |    16/   17 batches |ms/batch 3014.77 |avg loss 1575.97
| epoch  14 |     1/   17 batches |ms/batch 6787.57 |avg loss 4363.18
| epoch  14 |     2/   17 batches |ms/batch 3952.67 |avg loss 2322.03
| epoch  14 |     3/   17 batches |ms/batch 3702.88 |avg loss 2367.57
| epoch  14 |     4/   17 batches |ms/batch 3882.07 |avg loss 2688.77
| epoch  14 |     5/   17 batches |ms/batch 3882.01 |avg loss 2502.06
| epoch  14 |     6/   17 batches |ms/batch 3715.37 |avg loss 2238.24
| epoch  14 |     7/   17 batches |ms/batch 3587.42 |avg loss 2167.83
| epoch  14 |     8/   17 batches |ms/batch 3397.26 |avg loss 1801.79
| epoch  14 |     9/   17 batches |ms/batch 3202.26 |avg loss 1577.27
| epoch  14 |    10/   17 batches |ms/batch 3061.99 |avg loss 1311.98
| epoch  14 |    11/   17 batches |ms/batch 3002.84 |avg loss 1191.21
| epoch  14 |    12/   17 batches |ms/batch 2442.52 |avg loss 1254.82
| epoch  14 |    13/   17 batches |ms/batch 2932.98 |avg loss 1331.86
| epoch  14 |    14/   17 batches |ms/batch 3014.26 |avg loss 1462.64
| epoch  14 |    15/   17 batches |ms/batch 3028.35 |avg loss 1421.73
| epoch  14 |    16/   17 batches |ms/batch 3069.72 |avg loss 1546.40
| epoch  15 |     1/   17 batches |ms/batch 6879.02 |avg loss 4364.90
| epoch  15 |     2/   17 batches |ms/batch 3448.12 |avg loss 2285.25
| epoch  15 |     3/   17 batches |ms/batch 3576.36 |avg loss 2407.31
| epoch  15 |     4/   17 batches |ms/batch 4239.81 |avg loss 2726.74
| epoch  15 |     5/   17 batches |ms/batch 3840.72 |avg loss 2495.56
| epoch  15 |     6/   17 batches |ms/batch 3639.90 |avg loss 2279.98
| epoch  15 |     7/   17 batches |ms/batch 4087.18 |avg loss 2168.71
| epoch  15 |     8/   17 batches |ms/batch 3504.12 |avg loss 1844.60
| epoch  15 |     9/   17 batches |ms/batch 2693.67 |avg loss 1550.40
| epoch  15 |    10/   17 batches |ms/batch 2993.99 |avg loss 1274.73
| epoch  15 |    11/   17 batches |ms/batch 2906.84 |avg loss 1176.20
| epoch  15 |    12/   17 batches |ms/batch 2946.83 |avg loss 1265.34
| epoch  15 |    13/   17 batches |ms/batch 3050.14 |avg loss 1330.90
| epoch  15 |    14/   17 batches |ms/batch 2615.09 |avg loss 1433.53
| epoch  15 |    15/   17 batches |ms/batch 2992.25 |avg loss 1411.80
| epoch  15 |    16/   17 batches |ms/batch 3022.27 |avg loss 1551.91
| epoch  16 |     1/   17 batches |ms/batch 6780.04 |avg loss 4324.83
| epoch  16 |     2/   17 batches |ms/batch 3953.24 |avg loss 2349.62
| epoch  16 |     3/   17 batches |ms/batch 3696.26 |avg loss 2385.65
| epoch  16 |     4/   17 batches |ms/batch 3886.08 |avg loss 2609.60
| epoch  16 |     5/   17 batches |ms/batch 3889.93 |avg loss 2413.68
| epoch  16 |     6/   17 batches |ms/batch 3713.28 |avg loss 2194.68
| epoch  16 |     7/   17 batches |ms/batch 3592.73 |avg loss 2103.06
| epoch  16 |     8/   17 batches |ms/batch 3406.30 |avg loss 1751.96
| epoch  16 |     9/   17 batches |ms/batch 3198.88 |avg loss 1559.15
| epoch  16 |    10/   17 batches |ms/batch 3067.73 |avg loss 1255.21
| epoch  16 |    11/   17 batches |ms/batch 3008.36 |avg loss 1169.69
| epoch  16 |    12/   17 batches |ms/batch 2443.91 |avg loss 1217.81
| epoch  16 |    13/   17 batches |ms/batch 2936.66 |avg loss 1288.36
| epoch  16 |    14/   17 batches |ms/batch 3015.44 |avg loss 1439.79
| epoch  16 |    15/   17 batches |ms/batch 3036.62 |avg loss 1388.86
| epoch  16 |    16/   17 batches |ms/batch 3071.78 |avg loss 1538.42
| epoch  17 |     1/   17 batches |ms/batch 6878.84 |avg loss 4279.41
| epoch  17 |     2/   17 batches |ms/batch 3446.54 |avg loss 2283.10
| epoch  17 |     3/   17 batches |ms/batch 3579.79 |avg loss 2433.27
| epoch  17 |     4/   17 batches |ms/batch 4233.27 |avg loss 2667.62
| epoch  17 |     5/   17 batches |ms/batch 3838.32 |avg loss 2435.46
| epoch  17 |     6/   17 batches |ms/batch 3626.11 |avg loss 2307.00
| epoch  17 |     7/   17 batches |ms/batch 4085.02 |avg loss 2281.60
| epoch  17 |     8/   17 batches |ms/batch 3512.53 |avg loss 1788.59
| epoch  17 |     9/   17 batches |ms/batch 2690.49 |avg loss 1613.36
| epoch  17 |    10/   17 batches |ms/batch 2979.61 |avg loss 1343.49
| epoch  17 |    11/   17 batches |ms/batch 2905.73 |avg loss 1276.47
| epoch  17 |    12/   17 batches |ms/batch 2952.37 |avg loss 1378.47
| epoch  17 |    13/   17 batches |ms/batch 3045.79 |avg loss 1396.66
| epoch  17 |    14/   17 batches |ms/batch 2614.26 |avg loss 1524.11
| epoch  17 |    15/   17 batches |ms/batch 2992.00 |avg loss 1491.00
| epoch  17 |    16/   17 batches |ms/batch 3019.51 |avg loss 1591.76
| epoch  18 |     1/   17 batches |ms/batch 6779.07 |avg loss 4446.80
| epoch  18 |     2/   17 batches |ms/batch 3950.37 |avg loss 2295.49
| epoch  18 |     3/   17 batches |ms/batch 3700.98 |avg loss 2374.78
| epoch  18 |     4/   17 batches |ms/batch 3884.09 |avg loss 2649.95
| epoch  18 |     5/   17 batches |ms/batch 3884.15 |avg loss 2459.45
| epoch  18 |     6/   17 batches |ms/batch 3712.86 |avg loss 2213.36
| epoch  18 |     7/   17 batches |ms/batch 3590.39 |avg loss 2096.76
| epoch  18 |     8/   17 batches |ms/batch 3393.91 |avg loss 1773.49
| epoch  18 |     9/   17 batches |ms/batch 3196.05 |avg loss 1535.96
| epoch  18 |    10/   17 batches |ms/batch 3061.04 |avg loss 1317.05
| epoch  18 |    11/   17 batches |ms/batch 3003.13 |avg loss 1191.39
| epoch  18 |    12/   17 batches |ms/batch 2437.82 |avg loss 1295.21
| epoch  18 |    13/   17 batches |ms/batch 2937.72 |avg loss 1318.41
| epoch  18 |    14/   17 batches |ms/batch 3026.68 |avg loss 1463.12
| epoch  18 |    15/   17 batches |ms/batch 3036.53 |avg loss 1407.14
| epoch  18 |    16/   17 batches |ms/batch 3077.78 |avg loss 1545.03
| epoch  19 |     1/   17 batches |ms/batch 6883.22 |avg loss 4319.74
| epoch  19 |     2/   17 batches |ms/batch 3447.84 |avg loss 2300.26
| epoch  19 |     3/   17 batches |ms/batch 3580.44 |avg loss 2347.16
| epoch  19 |     4/   17 batches |ms/batch 4232.08 |avg loss 2696.70
| epoch  19 |     5/   17 batches |ms/batch 3833.10 |avg loss 2483.72
| epoch  19 |     6/   17 batches |ms/batch 3627.90 |avg loss 2295.98
| epoch  19 |     7/   17 batches |ms/batch 4082.83 |avg loss 2174.64
| epoch  19 |     8/   17 batches |ms/batch 3506.45 |avg loss 1751.34
| epoch  19 |     9/   17 batches |ms/batch 2694.52 |avg loss 1499.41
| epoch  19 |    10/   17 batches |ms/batch 2984.97 |avg loss 1312.67
| epoch  19 |    11/   17 batches |ms/batch 2902.61 |avg loss 1247.72
| epoch  19 |    12/   17 batches |ms/batch 2948.12 |avg loss 1255.55
| epoch  19 |    13/   17 batches |ms/batch 3050.75 |avg loss 1295.33
| epoch  19 |    14/   17 batches |ms/batch 2615.83 |avg loss 1431.66
| epoch  19 |    15/   17 batches |ms/batch 2989.32 |avg loss 1417.50
| epoch  19 |    16/   17 batches |ms/batch 3016.39 |avg loss 1515.51
| epoch  20 |     1/   17 batches |ms/batch 6773.23 |avg loss 4322.41
| epoch  20 |     2/   17 batches |ms/batch 3956.28 |avg loss 2253.17
| epoch  20 |     3/   17 batches |ms/batch 3709.28 |avg loss 2315.67
| epoch  20 |     4/   17 batches |ms/batch 3887.13 |avg loss 2633.11
| epoch  20 |     5/   17 batches |ms/batch 3882.11 |avg loss 2392.67
| epoch  20 |     6/   17 batches |ms/batch 3710.44 |avg loss 2307.08
| epoch  20 |     7/   17 batches |ms/batch 3592.72 |avg loss 2161.00
| epoch  20 |     8/   17 batches |ms/batch 3390.85 |avg loss 1783.17
| epoch  20 |     9/   17 batches |ms/batch 3197.83 |avg loss 1560.31
| epoch  20 |    10/   17 batches |ms/batch 3052.63 |avg loss 1245.36
| epoch  20 |    11/   17 batches |ms/batch 3005.15 |avg loss 1231.96
| epoch  20 |    12/   17 batches |ms/batch 2444.93 |avg loss 1265.86
| epoch  20 |    13/   17 batches |ms/batch 2934.60 |avg loss 1330.61
| epoch  20 |    14/   17 batches |ms/batch 3020.30 |avg loss 1436.08
| epoch  20 |    15/   17 batches |ms/batch 3041.20 |avg loss 1384.10
| epoch  20 |    16/   17 batches |ms/batch 3071.98 |avg loss 1526.85
| epoch  21 |     1/   17 batches |ms/batch 6886.36 |avg loss 4349.01
| epoch  21 |     2/   17 batches |ms/batch 3442.18 |avg loss 2333.85
| epoch  21 |     3/   17 batches |ms/batch 3577.94 |avg loss 2324.00
| epoch  21 |     4/   17 batches |ms/batch 4238.27 |avg loss 2585.35
| epoch  21 |     5/   17 batches |ms/batch 3831.39 |avg loss 2546.23
| epoch  21 |     6/   17 batches |ms/batch 3628.13 |avg loss 2338.64
| epoch  21 |     7/   17 batches |ms/batch 4088.76 |avg loss 2148.69
| epoch  21 |     8/   17 batches |ms/batch 3511.96 |avg loss 1787.40
| epoch  21 |     9/   17 batches |ms/batch 2691.49 |avg loss 1518.73
| epoch  21 |    10/   17 batches |ms/batch 2990.44 |avg loss 1253.76
| epoch  21 |    11/   17 batches |ms/batch 2902.07 |avg loss 1210.27
| epoch  21 |    12/   17 batches |ms/batch 2945.67 |avg loss 1244.83
| epoch  21 |    13/   17 batches |ms/batch 3044.59 |avg loss 1358.13
| epoch  21 |    14/   17 batches |ms/batch 2614.77 |avg loss 1461.50
| epoch  21 |    15/   17 batches |ms/batch 2994.70 |avg loss 1394.65
| epoch  21 |    16/   17 batches |ms/batch 3024.66 |avg loss 1511.74
| epoch  22 |     1/   17 batches |ms/batch 6776.99 |avg loss 4340.13
| epoch  22 |     2/   17 batches |ms/batch 3965.44 |avg loss 2285.38
| epoch  22 |     3/   17 batches |ms/batch 3708.25 |avg loss 2343.63
| epoch  22 |     4/   17 batches |ms/batch 3890.39 |avg loss 2610.43
| epoch  22 |     5/   17 batches |ms/batch 3889.66 |avg loss 2336.14
| epoch  22 |     6/   17 batches |ms/batch 3720.84 |avg loss 2305.98
