| epoch   7 |     1/   17 batches |ms/batch 6928.28 |avg loss  2.32
| epoch   7 |     2/   17 batches |ms/batch 3470.84 |avg loss  1.25
| epoch   7 |     3/   17 batches |ms/batch 3606.37 |avg loss  1.06
| epoch   7 |     4/   17 batches |ms/batch 4255.60 |avg loss  1.09
| epoch   7 |     5/   17 batches |ms/batch 3872.61 |avg loss  1.09
| epoch   7 |     6/   17 batches |ms/batch 3659.50 |avg loss  1.02
| epoch   7 |     7/   17 batches |ms/batch 4115.30 |avg loss  1.02
| epoch   7 |     8/   17 batches |ms/batch 3525.56 |avg loss  0.98
| epoch   7 |     9/   17 batches |ms/batch 2707.56 |avg loss  0.97
| epoch   7 |    10/   17 batches |ms/batch 3008.65 |avg loss  0.90
| epoch   7 |    11/   17 batches |ms/batch 2920.62 |avg loss  0.98
| epoch   7 |    12/   17 batches |ms/batch 2966.77 |avg loss  0.86
| epoch   7 |    13/   17 batches |ms/batch 3073.78 |avg loss  0.88
| epoch   7 |    14/   17 batches |ms/batch 2639.68 |avg loss  0.83
| epoch   7 |    15/   17 batches |ms/batch 3005.18 |avg loss  0.87
| epoch   7 |    16/   17 batches |ms/batch 3035.26 |avg loss  0.77
| epoch   8 |     1/   17 batches |ms/batch 6823.08 |avg loss  1.69
| epoch   8 |     2/   17 batches |ms/batch 3985.64 |avg loss  0.75
| epoch   8 |     3/   17 batches |ms/batch 3744.02 |avg loss  0.74
| epoch   8 |     4/   17 batches |ms/batch 3915.71 |avg loss  0.77
| epoch   8 |     5/   17 batches |ms/batch 3928.71 |avg loss  0.82
| epoch   8 |     6/   17 batches |ms/batch 3755.33 |avg loss  0.76
| epoch   8 |     7/   17 batches |ms/batch 3610.66 |avg loss  0.74
| epoch   8 |     8/   17 batches |ms/batch 3431.53 |avg loss  0.70
| epoch   8 |     9/   17 batches |ms/batch 3217.59 |avg loss  0.69
| epoch   8 |    10/   17 batches |ms/batch 3077.75 |avg loss  0.63
| epoch   8 |    11/   17 batches |ms/batch 3032.99 |avg loss  0.65
| epoch   8 |    12/   17 batches |ms/batch 2454.71 |avg loss  0.60
| epoch   8 |    13/   17 batches |ms/batch 2955.46 |avg loss  0.60
| epoch   8 |    14/   17 batches |ms/batch 3037.82 |avg loss  0.56
| epoch   8 |    15/   17 batches |ms/batch 3050.01 |avg loss  0.59
| epoch   8 |    16/   17 batches |ms/batch 3093.14 |avg loss  0.54
| epoch   9 |     1/   17 batches |ms/batch 6937.07 |avg loss  1.11
| epoch   9 |     2/   17 batches |ms/batch 3477.58 |avg loss  0.54
| epoch   9 |     3/   17 batches |ms/batch 3618.79 |avg loss  0.53
| epoch   9 |     4/   17 batches |ms/batch 4256.38 |avg loss  0.56
| epoch   9 |     5/   17 batches |ms/batch 3861.51 |avg loss  0.55
| epoch   9 |     6/   17 batches |ms/batch 3663.50 |avg loss  0.52
| epoch   9 |     7/   17 batches |ms/batch 4120.83 |avg loss  0.51
| epoch   9 |     8/   17 batches |ms/batch 3539.77 |avg loss  0.50
| epoch   9 |     9/   17 batches |ms/batch 2709.33 |avg loss  0.47
| epoch   9 |    10/   17 batches |ms/batch 3013.03 |avg loss  0.43
| epoch   9 |    11/   17 batches |ms/batch 2920.13 |avg loss  0.42
| epoch   9 |    12/   17 batches |ms/batch 2976.89 |avg loss  0.42
| epoch   9 |    13/   17 batches |ms/batch 3074.56 |avg loss  0.44
| epoch   9 |    14/   17 batches |ms/batch 2634.21 |avg loss  0.39
| epoch   9 |    15/   17 batches |ms/batch 3003.97 |avg loss  0.39
| epoch   9 |    16/   17 batches |ms/batch 3045.10 |avg loss  0.39
| epoch  10 |     1/   17 batches |ms/batch 6825.94 |avg loss  0.83
| epoch  10 |     2/   17 batches |ms/batch 3985.62 |avg loss  0.37
| epoch  10 |     3/   17 batches |ms/batch 3734.98 |avg loss  0.38
| epoch  10 |     4/   17 batches |ms/batch 3913.34 |avg loss  0.40
| epoch  10 |     5/   17 batches |ms/batch 3914.97 |avg loss  0.38
| epoch  10 |     6/   17 batches |ms/batch 3751.12 |avg loss  0.39
| epoch  10 |     7/   17 batches |ms/batch 3624.50 |avg loss  0.39
| epoch  10 |     8/   17 batches |ms/batch 3412.23 |avg loss  0.37
| epoch  10 |     9/   17 batches |ms/batch 3220.43 |avg loss  0.32
| epoch  10 |    10/   17 batches |ms/batch 3080.77 |avg loss  0.32
| epoch  10 |    11/   17 batches |ms/batch 3039.44 |avg loss  0.31
| epoch  10 |    12/   17 batches |ms/batch 2457.08 |avg loss  0.31
| epoch  10 |    13/   17 batches |ms/batch 2948.96 |avg loss  0.31
| epoch  10 |    14/   17 batches |ms/batch 3031.17 |avg loss  0.30
| epoch  10 |    15/   17 batches |ms/batch 3050.23 |avg loss  0.29
| epoch  10 |    16/   17 batches |ms/batch 3093.16 |avg loss  0.29
| epoch  11 |     1/   17 batches |ms/batch 6926.04 |avg loss  0.59
| epoch  11 |     2/   17 batches |ms/batch 3467.30 |avg loss  0.27
| epoch  11 |     3/   17 batches |ms/batch 3605.44 |avg loss  0.28
| epoch  11 |     4/   17 batches |ms/batch 4258.62 |avg loss  0.29
| epoch  11 |     5/   17 batches |ms/batch 3865.83 |avg loss  0.29
| epoch  11 |     6/   17 batches |ms/batch 3660.27 |avg loss  0.30
| epoch  11 |     7/   17 batches |ms/batch 4116.51 |avg loss  0.28
| epoch  11 |     8/   17 batches |ms/batch 3545.28 |avg loss  0.25
| epoch  11 |     9/   17 batches |ms/batch 2716.30 |avg loss  0.23
| epoch  11 |    10/   17 batches |ms/batch 3010.27 |avg loss  0.25
| epoch  11 |    11/   17 batches |ms/batch 2933.21 |avg loss  0.22
| epoch  11 |    12/   17 batches |ms/batch 2980.01 |avg loss  0.21
| epoch  11 |    13/   17 batches |ms/batch 3071.48 |avg loss  0.21
| epoch  11 |    14/   17 batches |ms/batch 2638.63 |avg loss  0.20
| epoch  11 |    15/   17 batches |ms/batch 3018.53 |avg loss  0.21
| epoch  11 |    16/   17 batches |ms/batch 3047.31 |avg loss  0.22
| epoch  12 |     1/   17 batches |ms/batch 6833.57 |avg loss  0.46
| epoch  12 |     2/   17 batches |ms/batch 3975.11 |avg loss  0.20
| epoch  12 |     3/   17 batches |ms/batch 3744.19 |avg loss  0.20
| epoch  12 |     4/   17 batches |ms/batch 3918.20 |avg loss  0.22
| epoch  12 |     5/   17 batches |ms/batch 3929.11 |avg loss  0.22
| epoch  12 |     6/   17 batches |ms/batch 3741.70 |avg loss  0.22
| epoch  12 |     7/   17 batches |ms/batch 3621.94 |avg loss  0.21
| epoch  12 |     8/   17 batches |ms/batch 3422.16 |avg loss  0.19
| epoch  12 |     9/   17 batches |ms/batch 3217.80 |avg loss  0.19
| epoch  12 |    10/   17 batches |ms/batch 3089.44 |avg loss  0.17
| epoch  12 |    11/   17 batches |ms/batch 3024.72 |avg loss  0.16
